symbol,date,price
Q2,Jan 2000,64.56
Q2,Feb 2000,68.87
Q2,Mar 2000,67
Q2,Apr 2000,55.19
Q2,May 2000,48.31
Q2,Jun 2000,36.31
Q2,Jul 2000,30.12
Q2,Aug 2000,41.5
Q2,Sep 2000,38.44
Q2,Oct 2000,36.62
Q2,Nov 2000,24.69
Q2,Dec 2000,15.56
Q2,Jan 2001,17.31
Q2,Feb 2001,10.19
Q2,Mar 2001,10.23
Q2,Apr 2001,15.78
Q2,May 2001,16.69
Q2,Jun 2001,14.15
Q2,Jul 2001,12.49
Q2,Aug 2001,8.94
Q2,Sep 2001,5.97
Q2,Oct 2001,6.98
Q2,Nov 2001,11.32
Q2,Dec 2001,10.82
Q2,Jan 2002,14.19
Q2,Feb 2002,14.1
Q2,Mar 2002,14.3
Q2,Apr 2002,16.69
Q2,May 2002,18.23
Q2,Jun 2002,16.25
Q2,Jul 2002,14.45
Q2,Aug 2002,14.94
Q2,Sep 2002,15.93
Q2,Oct 2002,19.36
Q2,Nov 2002,23.35
Q2,Dec 2002,18.89
Q2,Jan 2003,21.85
Q2,Feb 2003,22.01
Q2,Mar 2003,26.03
Q2,Apr 2003,28.69
Q2,May 2003,35.89
Q2,Jun 2003,36.32
Q2,Jul 2003,41.64
Q2,Aug 2003,46.32
Q2,Sep 2003,48.43
Q2,Oct 2003,54.43
Q2,Nov 2003,53.97
Q2,Dec 2003,52.62
Q2,Jan 2004,50.4
Q2,Feb 2004,43.01
Q2,Mar 2004,43.28
Q2,Apr 2004,43.6
Q2,May 2004,48.5
Q2,Jun 2004,54.4
Q2,Jul 2004,38.92
Q2,Aug 2004,38.14
Q2,Sep 2004,40.86
Q2,Oct 2004,34.13
Q2,Nov 2004,39.68
Q2,Dec 2004,44.29
Q2,Jan 2005,43.22
Q2,Feb 2005,35.18
Q2,Mar 2005,34.27
Q2,Apr 2005,32.36
Q2,May 2005,35.51
Q2,Jun 2005,33.09
Q2,Jul 2005,45.15
Q2,Aug 2005,42.7
Q2,Sep 2005,45.3
Q2,Oct 2005,39.86
Q2,Nov 2005,48.46
Q2,Dec 2005,47.15
Q2,Jan 2006,44.82
Q2,Feb 2006,37.44
Q2,Mar 2006,36.53
Q2,Apr 2006,35.21
Q2,May 2006,34.61
Q2,Jun 2006,38.68
Q2,Jul 2006,26.89
Q2,Aug 2006,30.83
Q2,Sep 2006,32.12
Q2,Oct 2006,38.09
Q2,Nov 2006,40.34
Q2,Dec 2006,39.46
Q2,Jan 2007,37.67
Q2,Feb 2007,39.14
Q2,Mar 2007,39.79
Q2,Apr 2007,61.33
Q2,May 2007,69.14
Q2,Jun 2007,68.41
Q2,Jul 2007,78.54
Q2,Aug 2007,79.91
Q2,Sep 2007,93.15
Q2,Oct 2007,89.15
Q2,Nov 2007,90.56
Q2,Dec 2007,92.64
Q2,Jan 2008,77.7
Q2,Feb 2008,64.47
Q2,Mar 2008,71.3
Q2,Apr 2008,78.63
Q2,May 2008,81.62
Q2,Jun 2008,73.33
Q2,Jul 2008,76.34
Q2,Aug 2008,80.81
Q2,Sep 2008,72.76
Q2,Oct 2008,57.24
Q2,Nov 2008,42.7
Q2,Dec 2008,51.28
Q2,Jan 2009,58.82
Q2,Feb 2009,64.79
Q2,Mar 2009,73.44
Q2,Apr 2009,80.52
Q2,May 2009,77.99
Q2,Jun 2009,83.66
Q2,Jul 2009,85.76
Q2,Aug 2009,81.19
Q2,Sep 2009,93.36
Q2,Oct 2009,118.81
Q2,Nov 2009,135.91
Q2,Dec 2009,134.52
Q2,Jan 2010,125.41
Q2,Feb 2010,118.4
Q2,Mar 2010,128.82
Q3,Jan 2000,100.52
Q3,Feb 2000,92.11
Q3,Mar 2000,106.11
Q3,Apr 2000,99.95
Q3,May 2000,96.31
Q3,Jun 2000,98.33
Q3,Jul 2000,100.74
Q3,Aug 2000,118.62
Q3,Sep 2000,101.19
Q3,Oct 2000,88.5
Q3,Nov 2000,84.12
Q3,Dec 2000,76.47
Q3,Jan 2001,100.76
Q3,Feb 2001,89.98
Q3,Mar 2001,86.63
Q3,Apr 2001,103.7
Q3,May 2001,100.82
Q3,Jun 2001,102.35
Q3,Jul 2001,94.87
Q3,Aug 2001,90.25
Q3,Sep 2001,82.82
Q3,Oct 2001,97.58
Q3,Nov 2001,104.5
Q3,Dec 2001,109.36
Q3,Jan 2002,97.54
Q3,Feb 2002,88.82
Q3,Mar 2002,94.15
Q3,Apr 2002,75.82
Q3,May 2002,72.97
Q3,Jun 2002,65.31
Q3,Jul 2002,63.86
Q3,Aug 2002,68.52
Q3,Sep 2002,53.01
Q3,Oct 2002,71.76
Q3,Nov 2002,79.16
Q3,Dec 2002,70.58
Q3,Jan 2003,71.22
Q3,Feb 2003,71.13
Q3,Mar 2003,71.57
Q3,Apr 2003,77.47
Q3,May 2003,80.48
Q3,Jun 2003,75.42
Q3,Jul 2003,74.28
Q3,Aug 2003,75.12
Q3,Sep 2003,80.91
Q3,Oct 2003,81.96
Q3,Nov 2003,83.08
Q3,Dec 2003,85.05
Q3,Jan 2004,91.06
Q3,Feb 2004,88.7
Q3,Mar 2004,84.41
Q3,Apr 2004,81.04
Q3,May 2004,81.59
Q3,Jun 2004,81.19
Q3,Jul 2004,80.19
Q3,Aug 2004,78.17
Q3,Sep 2004,79.13
Q3,Oct 2004,82.84
Q3,Nov 2004,87.15
Q3,Dec 2004,91.16
Q3,Jan 2005,86.39
Q3,Feb 2005,85.78
Q3,Mar 2005,84.66
Q3,Apr 2005,70.77
Q3,May 2005,70.18
Q3,Jun 2005,68.93
Q3,Jul 2005,77.53
Q3,Aug 2005,75.07
Q3,Sep 2005,74.7
Q3,Oct 2005,76.25
Q3,Nov 2005,82.98
Q3,Dec 2005,76.73
Q3,Jan 2006,75.89
Q3,Feb 2006,75.09
Q3,Mar 2006,77.17
Q3,Apr 2006,77.05
Q3,May 2006,75.04
Q3,Jun 2006,72.15
Q3,Jul 2006,72.7
Q3,Aug 2006,76.35
Q3,Sep 2006,77.26
Q3,Oct 2006,87.06
Q3,Nov 2006,86.95
Q3,Dec 2006,91.9
Q3,Jan 2007,93.79
Q3,Feb 2007,88.18
Q3,Mar 2007,89.44
Q3,Apr 2007,96.98
Q3,May 2007,101.54
Q3,Jun 2007,100.25
Q3,Jul 2007,105.4
Q3,Aug 2007,111.54
Q3,Sep 2007,112.6
Q3,Oct 2007,111
Q3,Nov 2007,100.9
Q3,Dec 2007,103.7
Q3,Jan 2008,102.75
Q3,Feb 2008,109.64
Q3,Mar 2008,110.87
Q3,Apr 2008,116.23
Q3,May 2008,125.14
Q3,Jun 2008,114.6
Q3,Jul 2008,123.74
Q3,Aug 2008,118.16
Q3,Sep 2008,113.53
Q3,Oct 2008,90.24
Q3,Nov 2008,79.65
Q3,Dec 2008,82.15
Q3,Jan 2009,89.46
Q3,Feb 2009,90.32
Q3,Mar 2009,95.09
Q3,Apr 2009,101.29
Q3,May 2009,104.85
Q3,Jun 2009,103.01
Q3,Jul 2009,116.34
Q3,Aug 2009,117
Q3,Sep 2009,118.55
Q3,Oct 2009,119.54
Q3,Nov 2009,125.79
Q3,Dec 2009,130.32
Q3,Jan 2010,121.85
Q3,Feb 2010,127.16
Q3,Mar 2010,125.55
Q4,Jan 2000,25.94
Q4,Feb 2000,28.66
Q4,Mar 2000,33.95
Q4,Apr 2000,31.01
Q4,May 2000,21
Q4,Jun 2000,26.19
Q4,Jul 2000,25.41
Q4,Aug 2000,30.47
Q4,Sep 2000,12.88
Q4,Oct 2000,9.78
Q4,Nov 2000,8.25
Q4,Dec 2000,7.44
Q4,Jan 2001,10.81
Q4,Feb 2001,9.12
Q4,Mar 2001,11.03
Q4,Apr 2001,12.74
Q4,May 2001,9.98
Q4,Jun 2001,11.62
Q4,Jul 2001,9.4
Q4,Aug 2001,9.27
Q4,Sep 2001,7.76
Q4,Oct 2001,8.78
Q4,Nov 2001,10.65
Q4,Dec 2001,10.95
Q4,Jan 2002,12.36
Q4,Feb 2002,10.85
Q4,Mar 2002,11.84
Q4,Apr 2002,12.14
Q4,May 2002,11.65
Q4,Jun 2002,8.86
Q4,Jul 2002,7.63
Q4,Aug 2002,7.38
Q4,Sep 2002,7.25
Q4,Oct 2002,8.03
Q4,Nov 2002,7.75
Q4,Dec 2002,7.16
Q4,Jan 2003,7.18
Q4,Feb 2003,7.51
Q4,Mar 2003,7.07
Q4,Apr 2003,7.11
Q4,May 2003,8.98
Q4,Jun 2003,9.53
Q4,Jul 2003,10.54
Q4,Aug 2003,11.31
Q4,Sep 2003,10.36
Q4,Oct 2003,11.44
Q4,Nov 2003,10.45
Q4,Dec 2003,10.69
Q4,Jan 2004,11.28
Q4,Feb 2004,11.96
Q4,Mar 2004,13.52
Q4,Apr 2004,12.89
Q4,May 2004,14.03
Q4,Jun 2004,16.27
Q4,Jul 2004,16.17
Q4,Aug 2004,17.25
Q4,Sep 2004,19.38
Q4,Oct 2004,26.2
Q4,Nov 2004,33.53
Q4,Dec 2004,32.2
Q4,Jan 2005,38.45
Q4,Feb 2005,44.86
Q4,Mar 2005,41.67
Q4,Apr 2005,36.06
Q4,May 2005,39.76
Q4,Jun 2005,36.81
Q4,Jul 2005,42.65
Q4,Aug 2005,46.89
Q4,Sep 2005,53.61
Q4,Oct 2005,57.59
Q4,Nov 2005,67.82
Q4,Dec 2005,71.89
Q4,Jan 2006,75.51
Q4,Feb 2006,68.49
Q4,Mar 2006,62.72
Q4,Apr 2006,70.39
Q4,May 2006,59.77
Q4,Jun 2006,57.27
Q4,Jul 2006,67.96
Q4,Aug 2006,67.85
Q4,Sep 2006,76.98
Q4,Oct 2006,81.08
Q4,Nov 2006,91.66
Q4,Dec 2006,84.84
Q4,Jan 2007,85.73
Q4,Feb 2007,84.61
Q4,Mar 2007,92.91
Q4,Apr 2007,99.8
Q4,May 2007,121.19
Q4,Jun 2007,122.04
Q4,Jul 2007,131.76
Q4,Aug 2007,138.48
Q4,Sep 2007,153.47
Q4,Oct 2007,189.95
Q4,Nov 2007,182.22
Q4,Dec 2007,198.08
Q4,Jan 2008,135.36
Q4,Feb 2008,125.02
Q4,Mar 2008,143.5
Q4,Apr 2008,173.95
Q4,May 2008,188.75
Q4,Jun 2008,167.44
Q4,Jul 2008,158.95
Q4,Aug 2008,169.53
Q4,Sep 2008,113.66
Q4,Oct 2008,107.59
Q4,Nov 2008,92.67
Q4,Dec 2008,85.35
Q4,Jan 2009,90.13
Q4,Feb 2009,89.31
Q4,Mar 2009,105.12
Q4,Apr 2009,125.83
Q4,May 2009,135.81
Q4,Jun 2009,142.43
Q4,Jul 2009,163.39
Q4,Aug 2009,168.21
Q4,Sep 2009,185.35
Q4,Oct 2009,188.5
Q4,Nov 2009,199.91
Q4,Dec 2009,210.73
Q4,Jan 2010,192.06
Q4,Feb 2010,204.62
Q4,Mar 2010,223.02
